Pin Number,Pin ID,Custom Name,Function,Direction,Latch,Open Drain,PIO Interrupt,Pull Up,Pull Down,Glitch/Debounce Filter,Drive Strength
3,PF29,,FLEXCOM1_IO1,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
4,PF30,,FLEXCOM1_IO0,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
9,PA0,,Available,In,,,,,,,
10,PA1,,Available,In,,,,,,,
11,PA2,,Available,In,,,,,,,
12,PA3,,Available,In,,,,,,,
13,PA4,,Available,In,,,,,,,
14,PA5,,Available,In,,,,,,,
15,PA6,,Available,In,,,,,,,
16,PA7,,Available,In,,,,,,,
17,PA8,,Available,In,,,,,,,
18,PA9,,Available,In,,,,,,,
19,PA10,,Available,In,,,,,,,
20,PA11,,Available,In,,,,,,,
21,PA12,,Available,In,,,,,,,
22,PA13,,Available,In,,,,,,,
26,PA16,,Available,In,,,,,,,
27,PA17,,Available,In,,,,,,,
29,PA19,,Available,In,,,,,,,
30,PA20,,Available,In,,,,,,,
31,PA21,,Available,In,,,,,,,
34,PA22,,Available,In,,,,,,,
35,PA23,,Available,In,,,,,,,
36,PA24,,Available,In,,,,,,,
37,PA25,,Available,In,,,,,,,
38,PA26,,Available,In,,,,,,,
39,PA27,,Available,In,,,,,,,
40,PA28,,Available,In,,,,,,,
59,PB0,,Available,In,,,,,,,
60,PB1,,Available,In,,,,,,,
61,PB2,,Available,In,,,,,,,
62,PB3,,Available,In,,,,,,,
67,PB4,,Available,In,,,,,,,
68,PB5,,Available,In,,,,,,,
69,PB6,,Available,In,,,,,,,
70,PB7,,Available,In,,,,,,,
71,PB8,,Available,In,,,,,,,
72,PB9,,Available,In,,,,,,,
73,PB10,,Available,In,,,,,,,
74,PB11,,Available,In,,,,,,,
75,PB12,,Available,In,,,,,,,
76,PB13,,Available,In,,,,,,,
77,PB14,,Available,In,,,,,,,
78,PB15,,Available,In,,,,,,,
79,PB16,,Available,In,,,,,,,
86,PB17,,Available,In,,,,,,,
87,PB18,,Available,In,,,,,,,
88,PB19,LED0,LED_AH,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
89,PB20,,Available,In,,,,,,,
90,PB21,,Available,In,,,,,,,
91,PB22,,Available,In,,,,,,,
92,PB23,LED1,LED_AH,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
93,PB24,,Available,In,,,,,,,
94,PB25,,Available,In,,,,,,,
95,PB26,,Available,In,,,,,,,
98,PB27,,Available,In,,,,,,,
99,PB28,,Available,In,,,,,,,
100,PB29,,Available,In,,,,,,,
101,PC0,,Available,In,,,,,,,
102,PC1,,Available,In,,,,,,,
103,PC2,,Available,In,,,,,,,
104,PC3,,Available,In,,,,,,,
105,PC4,,Available,In,,,,,,,
106,PC5,,Available,In,,,,,,,
107,PC6,,Available,In,,,,,,,
108,PC7,,Available,In,,,,,,,
109,PC8,,Available,In,,,,,,,
110,PC9,,Available,In,,,,,,,
111,PC10,,Available,In,,,,,,,
112,PC11,,Available,In,,,,,,,
113,PC12,,Available,In,,,,,,,
114,PC13,,Available,In,,,,,,,
115,PC14,,Available,In,,,,,,,
116,PC15,,Available,In,,,,,,,
117,PC16,,Available,In,,,,,,,
118,PC17,,Available,In,,,,,,,
119,PC18,,Available,In,,,,,,,
120,PC19,,Available,In,,,,,,,
121,PC20,,Available,In,,,,,,,
122,PC21,,Available,In,,,,,,,
123,PC22,,Available,In,,,,,,,
124,PC23,,Available,In,,,,,,,
125,PC24,,Available,In,,,,,,,
126,PC25,,Available,In,,,,,,,
131,PC26,,Available,In,,,,,,,
132,PC27,,Available,In,,,,,,,
133,PC28,,Available,In,,,,,,,
134,PC29,PB0,SWITCH_AL,n/a,n/a,No,Disabled,Yes,No,Glitch Filter,0x0
135,PC30,PB1,SWITCH_AL,n/a,n/a,No,Disabled,Yes,No,Glitch Filter,0x0
136,PC31,PB2,SWITCH_AL,n/a,n/a,No,Disabled,Yes,No,Glitch Filter,0x0
137,PE12,,Available,In,,,,,,,
138,PE11,,Available,In,,,,,,,
139,PE10,,Available,In,,,,,,,
140,PE9,,Available,In,,,,,,,
141,PE8,,Available,In,,,,,,,
142,PE7,,Available,In,,,,,,,
143,PE6,,Available,In,,,,,,,
144,PE5,,Available,In,,,,,,,
145,PE4,,Available,In,,,,,,,
146,PE3,,Available,In,,,,,,,
147,PE2,,Available,In,,,,,,,
148,PE1,,Available,In,,,,,,,
149,PE0,,Available,In,,,,,,,
150,PF0,,Available,In,,,,,,,
151,PF1,,Available,In,,,,,,,
152,PF2,,Available,In,,,,,,,
153,PF3,,Available,In,,,,,,,
154,PF4,,Available,In,,,,,,,
155,PF5,,Available,In,,,,,,,
156,PF6,,Available,In,,,,,,,
157,PF7,,Available,In,,,,,,,
158,PF8,,Available,In,,,,,,,
159,PF9,,Available,In,,,,,,,
162,PF10,,Available,In,,,,,,,
163,PD0,,Available,In,,,,,,,
164,PD1,,Available,In,,,,,,,
165,PD2,,Available,In,,,,,,,
166,PD3,,Available,In,,,,,,,
167,PD4,,Available,In,,,,,,,
168,PD5,,Available,In,,,,,,,
169,PD6,,Available,In,,,,,,,
170,PD7,,Available,In,,,,,,,
171,PD8,,Available,In,,,,,,,
172,PD9,,Available,In,,,,,,,
173,PD10,,Available,In,,,,,,,
174,PD11,,Available,In,,,,,,,
175,PD12,,Available,In,,,,,,,
176,PD13,,Available,In,,,,,,,
177,PD14,,Available,In,,,,,,,
178,PD15,,Available,In,,,,,,,
179,PD16,,Available,In,,,,,,,
180,PD17,,Available,In,,,,,,,
181,PD18,,Available,In,,,,,,,
182,PD19,,Available,In,,,,,,,
183,PD20,,Available,In,,,,,,,
184,PD21,,Available,In,,,,,,,
185,PD22,,Available,In,,,,,,,
186,PD23,,Available,In,,,,,,,
187,PD24,,Available,In,,,,,,,
188,PD25,,Available,In,,,,,,,
189,PD26,,Available,In,,,,,,,
190,PD27,,Available,In,,,,,,,
195,PD28,,Available,In,,,,,,,
196,PD29,,Available,In,,,,,,,
197,PD30,,Available,In,,,,,,,
198,PD31,,Available,In,,,,,,,
199,PG0,,Available,In,,,,,,,
200,PG1,,Available,In,,,,,,,
201,PG2,,Available,In,,,,,,,
202,PG3,,Available,In,,,,,,,
203,PG4,,Available,In,,,,,,,
204,PG5,,Available,In,,,,,,,
205,PG6,,Available,In,,,,,,,
206,PG7,,Available,In,,,,,,,
207,PG8,,Available,In,,,,,,,
208,PG9,,Available,In,,,,,,,
209,PG10,,Available,In,,,,,,,
210,PG11,,Available,In,,,,,,,
211,PG12,,Available,In,,,,,,,
212,PG13,,Available,In,,,,,,,
213,PG14,,Available,In,,,,,,,
214,PG15,,Available,In,,,,,,,
215,PG16,,Available,In,,,,,,,
216,PG17,,Available,In,,,,,,,
217,PG18,,Available,In,,,,,,,
218,PG19,,Available,In,,,,,,,
219,PG20,,Available,In,,,,,,,
220,PG21,,Available,In,,,,,,,
221,PG22,,Available,In,,,,,,,
222,PG23,,Available,In,,,,,,,
223,PG24,,Available,In,,,,,,,
226,PG25,,Available,In,,,,,,,
227,PG26,,Available,In,,,,,,,
228,PG27,,Available,In,,,,,,,
231,PG30,,Available,In,,,,,,,
232,PG31,,Available,In,,,,,,,
233,PF11,,Available,In,,,,,,,
234,PF12,,Available,In,,,,,,,
235,PF13,,Available,In,,,,,,,
236,PF14,,Available,In,,,,,,,
237,PF15,,Available,In,,,,,,,
238,PF16,,Available,In,,,,,,,
239,PF17,,Available,In,,,,,,,
240,PF18,,Available,In,,,,,,,
241,PF19,LED2,LED_AH,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
242,PF20,LED3,LED_AH,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
243,PF21,,Available,In,,,,,,,
244,PF22,,Available,In,,,,,,,
245,PF23,,Available,In,,,,,,,
246,PF24,,Available,In,,,,,,,
247,PF25,,Available,In,,,,,,,
252,PF26,,Available,In,,,,,,,
253,PF27,,Available,In,,,,,,,
254,PF28,,Available,In,,,,,,,
